Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,RelevantEducationLevel,JobLevel,JobRole,MaritalStatus,NumCompaniesWorked,OverTime,InterviewScore,ResumeScore,RequestedBenefits,TotalWorkingYears,PreferredSkills,YearsAtCurrentCompany,RelevantExperience,JobType,SalaryExpectation,Ethnicity,Gender,HIRED
38,Travel_Rarely,Sales,1,Master,Life Sciences,High,Intermediate,Sales Executive,Married,0,No,Average,Low,No,16,High,15,13,full_time,Average,non-minority,Male,YES
19,Travel_Rarely,Research & Development,3,Below College,Medical,High,Entry Level,Laboratory Technician,Single,1,No,Low,Outstanding,No,1,High,1,0,full_time,High,minority,Female,NO
50,Travel_Frequently,Research & Development,2,Bachelor,Medical,High,Experienced,Manager,Married,2,No,Low,High,Yes,32,High,2,2,contract,High,non-minority,Female,NO
29,Travel_Frequently,Sales,24,Bachelor,Technical Degree,Medium,Entry Level,Sales Representative,Single,4,No,Low,Outstanding,Yes,5,Medium,1,2,full_time,High,minority,Female,NO
28,Travel_Rarely,Human Resources,8,College,Medical,Medium,Entry Level,Human Resources,Divorced,1,No,Outstanding,Outstanding,Yes,6,Medium,5,1,full_time,Average,non-minority,Male,YES
27,Travel_Rarely,Research & Development,17,Bachelor,Technical Degree,High,Entry Level,Research Scientist,Married,0,Yes,Average,Outstanding,Yes,6,High,5,2,full_time,Average,non-minority,Male,YES
29,Travel_Frequently,Sales,11,Bachelor,Life Sciences,Medium,Entry Level,Sales Representative,Married,2,No,Low,High,Yes,2,Low,1,0,full_time,High,non-minority,Male,YES
32,Travel_Rarely,Research & Development,1,Below College,Life Sciences,Medium,Entry Level,Research Scientist,Single,1,No,Low,Average,No,1,Medium,1,2,full_time,Average,minority,Male,NO
28,Travel_Rarely,Sales,5,Bachelor,Medical,Low,Entry Level,Sales Representative,Married,2,No,Low,Outstanding,Yes,2,Medium,1,0,full_time,High,minority,Female,NO
36,Travel_Rarely,Research & Development,4,College,Life Sciences,Medium,Intermediate,Laboratory Technician,Single,6,No,Average,High,No,16,Medium,13,11,contract,Average,non-minority,Male,YES
45,Non-Travel,Research & Development,20,College,Life Sciences,High,Intermediate,Laboratory Technician,Married,0,Yes,Low,Low,Yes,3,High,9,1,full_time,Average,minority,Male,NO
31,Travel_Frequently,Research & Development,5,Bachelor,Life Sciences,Medium,Intermediate,Research Scientist,Married,1,No,Average,Low,No,11,Low,10,8,full_time,Average,non-minority,Male,YES
22,Travel_Rarely,Research & Development,8,Below College,Life Sciences,Low,Entry Level,Laboratory Technician,Married,1,No,Low,Low,Yes,4,High,4,3,contract,Average,non-minority,Male,YES
30,Travel_Rarely,Research & Development,17,Master,Medical,Medium,Experienced,Manager,Married,4,Yes,Low,Outstanding,Yes,5,Medium,9,2,full_time,High,minority,Female,NO
36,Travel_Rarely,Sales,8,College,Marketing,Medium,Intermediate,Sales Executive,Married,1,No,Average,Low,Yes,5,Medium,5,1,full_time,Average,non-minority,Male,YES
33,Travel_Rarely,Research & Development,1,Master,Other,High,Entry Level,Research Scientist,Single,1,Yes,Low,High,No,10,Medium,10,9,full_time,Average,non-minority,Male,NO
35,Travel_Rarely,Research & Development,8,Master,Other,High,Entry Level,Laboratory Technician,Married,9,No,Low,High,No,12,Medium,0.6,4,contract,Average,minority,Female,NO
39,Travel_Rarely,Sales,3,College,Technical Degree,Low,Intermediate,Sales Representative,Single,0,No,High,Low,No,7,Medium,7,4,full_time,Average,minority,Male,YES
19,Travel_Frequently,Sales,1,Below College,Technical Degree,Low,Entry Level,Sales Representative,Single,0,No,Low,Low,No,1,Medium,0,0,full_time,High,minority,Female,NO
32,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,High,Intermediate,Research Scientist,Married,1,No,Average,Average,No,10,High,10,4,full_time,High,non-minority,Male,YES
27,Non-Travel,Research & Development,3,Bachelor,Medical,High,Entry Level,Research Scientist,Married,1,No,Outstanding,High,Yes,0,Medium,0,0,full_time,High,minority,Female,NO
37,Travel_Rarely,Research & Development,7,Master,Medical,High,Intermediate,Research Scientist,Married,5,Yes,Low,High,Yes,16,Medium,5,3,full_time,High,non-minority,Female,NO
31,Non-Travel,Sales,1,Bachelor,Life Sciences,High,Experienced,Sales Executive,Divorced,1,Yes,High,Low,No,10,High,10,8,full_time,High,non-minority,Female,NO
45,Travel_Rarely,Research & Development,28,Bachelor,Technical Degree,High,Entry Level,Research Scientist,Married,4,No,Outstanding,Outstanding,Yes,8,High,5,4,full_time,High,non-minority,Male,YES
52,Travel_Rarely,Research & Development,8,Master,Medical,Medium,Intermediate,Research Scientist,Married,2,No,Average,Low,No,11,High,8,2,contract,Average,non-minority,Male,YES
49,Travel_Rarely,Research & Development,1,Bachelor,Technical Degree,High,Entry Level,Research Scientist,Married,2,No,Low,Average,Yes,7,Medium,4,2,contract,High,minority,Female,NO
20,Travel_Rarely,Research & Development,11,Bachelor,Medical,Medium,Entry Level,Research Scientist,Single,1,Yes,Low,Average,No,1,Medium,1,2,contract,Average,non-minority,Female,NO
39,Travel_Rarely,Research & Development,10,Doctorate,Medical,High,Intermediate,Manufacturing Director,Married,5,No,Low,Outstanding,Yes,4,High,7,2,contract,Average,minority,Male,NO
22,Travel_Rarely,Research & Development,8,Below College,Life Sciences,Low,Entry Level,Laboratory Technician,Married,1,No,Low,Low,Yes,4,High,4,3,contract,Average,non-minority,Male,YES
47,Travel_Rarely,Sales,2,Master,Life Sciences,Very High,Experienced,Manager,Divorced,6,No,Low,High,Yes,29,Medium,3,2,full_time,Average,minority,Female,NO
35,Travel_Rarely,Research & Development,8,Below College,Life Sciences,Very High,Entry Level,Laboratory Technician,Married,1,No,Low,Outstanding,No,1,Medium,1,0,full_time,High,minority,Female,NO
37,Non-Travel,Sales,20,Master,Medical,High,Experienced,Sales Executive,Divorced,0,No,Low,Low,Yes,3,High,9,1,contract,High,minority,Female,NO
36,Travel_Rarely,Research & Development,7,Master,Other,High,Entry Level,Research Scientist,Single,2,No,Outstanding,High,No,8,Medium,6,2,full_time,High,non-minority,Male,YES
52,Travel_Rarely,Research & Development,1,College,Life Sciences,High,Experienced,Manager,Married,2,No,Outstanding,Average,Yes,26,Medium,9,8,contract,Average,non-minority,Male,YES
35,Travel_Rarely,Research & Development,10,College,Life Sciences,Medium,Intermediate,Healthcare Representative,Married,6,Yes,Low,High,Yes,14,Low,11,7,full_time,Average,non-minority,Male,YES
26,Travel_Rarely,Sales,4,Master,Marketing,Medium,Intermediate,Sales Executive,Single,4,Yes,Low,Average,Yes,5,Medium,8,2,full_time,Average,minority,Female,NO
38,Travel_Frequently,Research & Development,1,Bachelor,Life Sciences,High,Intermediate,Research Scientist,Married,7,No,Outstanding,Outstanding,No,19,High,13,11,full_time,Average,minority,Male,YES
32,Travel_Rarely,Sales,4,College,Life Sciences,High,Entry Level,Sales Representative,Married,2,No,Average,Low,Yes,6,Medium,4,3,full_time,Low,non-minority,Female,YES
32,Non-Travel,Sales,26,Master,Marketing,High,Intermediate,Sales Executive,Married,0,No,Outstanding,Low,No,4,Medium,3,2,full_time,High,minority,Male,NO
26,Travel_Rarely,Research & Development,1,Bachelor,Medical,High,Entry Level,Laboratory Technician,Single,0,No,Low,Outstanding,No,8,Medium,7,7,full_time,High,non-minority,Female,NO
26,Travel_Rarely,Research & Development,4,College,Life Sciences,Medium,Entry Level,Research Scientist,Single,1,Yes,Low,Average,No,8,Medium,8,2,full_time,High,minority,Female,NO
36,Travel_Rarely,Sales,11,Master,Marketing,Medium,Intermediate,Sales Executive,Married,4,No,Outstanding,Low,Yes,8,Medium,6,3,full_time,Average,non-minority,Female,YES
37,Travel_Rarely,Research & Development,10,Below College,Life Sciences,Medium,Entry Level,Research Scientist,Divorced,4,Yes,Low,Average,Yes,5,Medium,0.3,2,contract,High,minority,Female,NO
29,Travel_Rarely,Human Resources,17,Bachelor,Other,Medium,Experienced,Human Resources,Single,1,No,Low,Low,No,10,High,10,9,full_time,Average,non-minority,Male,YES
29,Travel_Rarely,Human Resources,13,Bachelor,Human Resources,Medium,Entry Level,Human Resources,Divorced,4,Yes,Low,Outstanding,Yes,4,High,2,2,full_time,Average,minority,Male,NO
53,Travel_Rarely,Sales,2,College,Medical,High,Experienced,Manager,Divorced,6,No,High,High,Yes,22,High,17,13,contract,Average,minority,Male,YES
36,Travel_Frequently,Research & Development,3,College,Medical,High,Entry Level,Laboratory Technician,Single,4,No,Average,High,No,13,High,8,7,full_time,Average,minority,Male,YES
40,Travel_Rarely,Research & Development,4,College,Medical,High,Entry Level,Research Scientist,Divorced,1,No,High,High,Yes,5,High,5,3,full_time,Average,non-minority,Male,YES
31,Travel_Rarely,Research & Development,20,Doctorate,Life Sciences,High,Experienced,Research Director,Single,0,No,Low,Low,No,3,High,3,1,full_time,Low,minority,Female,NO
47,Travel_Rarely,Sales,3,Bachelor,Life Sciences,High,Experienced,Sales Executive,Single,0,No,High,High,No,10,Medium,9,8,full_time,Average,non-minority,Male,YES
59,Non-Travel,Human Resources,20,Master,Human Resources,Medium,Experienced,Manager,Married,0,No,Low,Low,Yes,3,High,0.6,1,full_time,High,minority,Female,NO
26,Travel_Rarely,Research & Development,1,College,Life Sciences,Medium,Entry Level,Research Scientist,Married,1,Yes,Low,High,Yes,1,High,1,0,full_time,Average,minority,Female,NO
36,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,High,Entry Level,Laboratory Technician,Married,0,No,Outstanding,High,Yes,16,High,15,13,full_time,Low,non-minority,Male,YES
29,Travel_Frequently,Sales,11,Bachelor,Life Sciences,Medium,Entry Level,Sales Representative,Married,2,No,Low,High,Yes,2,Low,1,0,full_time,High,non-minority,Male,YES
33,Travel_Rarely,Research & Development,21,Bachelor,Medical,Very High,Entry Level,Laboratory Technician,Married,1,No,Average,Outstanding,Yes,14,Medium,14,11,full_time,High,non-minority,Male,YES
39,Travel_Rarely,Sales,3,College,Technical Degree,Low,Intermediate,Sales Representative,Single,0,No,High,Low,No,7,Medium,7,4,full_time,Average,minority,Male,YES
34,Travel_Rarely,Sales,8,College,Technical Degree,Very High,Intermediate,Sales Executive,Married,1,No,High,High,No,10,Medium,10,8,contract,High,non-minority,Male,YES
39,Travel_Rarely,Research & Development,23,Bachelor,Medical,High,Entry Level,Research Scientist,Single,5,No,Low,Low,Yes,4,High,5,2,full_time,Average,minority,Male,NO
33,Travel_Rarely,Research & Development,16,Bachelor,Medical,High,Entry Level,Research Scientist,Single,2,No,Outstanding,Average,No,7,High,6,3,full_time,High,non-minority,Female,NO
33,Travel_Rarely,Research & Development,15,College,Medical,High,Intermediate,Healthcare Representative,Married,0,Yes,Outstanding,Low,Yes,10,Medium,9,7,contract,Average,non-minority,Female,YES
53,Non-Travel,Research & Development,1,Master,Medical,Medium,Experienced,Manufacturing Director,Married,4,Yes,Low,Outstanding,Yes,27,Medium,3,2,full_time,High,minority,Female,NO
45,Travel_Rarely,Human Resources,4,Bachelor,Life Sciences,Low,Experienced,Human Resources,Married,4,No,High,High,No,9,Medium,5,0,contract,High,non-minority,Female,NO
45,Travel_Rarely,Research & Development,3,Master,Medical,Medium,Intermediate,Manufacturing Director,Married,4,No,Low,High,Yes,10,High,8,4,full_time,Average,minority,Female,NO
34,Travel_Rarely,Sales,8,College,Technical Degree,Very High,Intermediate,Sales Executive,Married,1,No,High,High,No,10,Medium,10,8,contract,High,non-minority,Male,YES
41,Travel_Rarely,Sales,5,Bachelor,Life Sciences,Low,Experienced,Manager,Single,2,Yes,Low,High,No,2,Medium,1,0,contract,High,minority,Female,NO
34,Travel_Rarely,Sales,1,Master,Marketing,Very High,Intermediate,Sales Executive,Divorced,0,No,Outstanding,Outstanding,Yes,16,Medium,15,1,contract,Average,non-minority,Male,YES
37,Travel_Rarely,Research & Development,10,Master,Medical,High,Intermediate,Manufacturing Director,Single,1,No,Low,Average,No,10,High,10,3,full_time,Average,non-minority,Male,YES
30,Non-Travel,Sales,20,Master,Other,High,Experienced,Sales Executive,Married,0,No,Low,Low,No,3,High,9,1,full_time,Low,minority,Female,NO
31,Travel_Frequently,Sales,26,Master,Marketing,High,Intermediate,Sales Executive,Married,1,Yes,Outstanding,High,No,10,High,10,7,contract,Average,non-minority,Male,YES
48,Travel_Rarely,Sales,2,Bachelor,Marketing,Medium,Intermediate,Sales Executive,Divorced,2,No,Average,Low,Yes,26,Medium,13,7,full_time,Average,non-minority,Male,YES
31,Travel_Rarely,Human Resources,18,Doctorate,Human Resources,Medium,Entry Level,Human Resources,Married,4,No,Low,High,Yes,5,Medium,1,2,full_time,High,minority,Female,NO
54,Travel_Rarely,Sales,4,Bachelor,Marketing,High,Experienced,Manager,Married,4,Yes,Average,High,Yes,33,Low,16,9,full_time,High,minority,Female,NO
30,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,Medium,Intermediate,Healthcare Representative,Married,1,No,Outstanding,Low,Yes,11,High,11,10,full_time,High,minority,Male,YES
32,Travel_Rarely,Sales,7,Below College,Life Sciences,Medium,Experienced,Sales Executive,Married,1,No,Average,High,No,13,Medium,13,6,full_time,High,non-minority,Male,YES
47,Travel_Rarely,Sales,2,College,Marketing,High,Intermediate,Sales Executive,Married,0,Yes,Outstanding,Low,Yes,8,Medium,7,6,full_time,High,minority,Female,NO
35,Travel_Rarely,Research & Development,28,Bachelor,Life Sciences,Very High,Intermediate,Laboratory Technician,Married,1,No,High,Outstanding,No,10,High,10,9,full_time,High,minority,Male,YES
40,Travel_Rarely,Research & Development,1,Master,Life Sciences,High,Experienced,Manager,Divorced,2,No,Low,Low,Yes,22,High,19,7,full_time,Low,minority,Male,NO
38,Travel_Frequently,Research & Development,2,Master,Life Sciences,Very High,Intermediate,Manufacturing Director,Single,6,Yes,Low,Outstanding,No,17,Medium,15,7,contract,High,minority,Female,NO
53,Travel_Rarely,Research & Development,24,Master,Medical,Very High,Experienced,Healthcare Representative,Married,3,No,Low,High,No,11,Medium,4,3,full_time,Average,minority,Male,NO
39,Travel_Rarely,Sales,3,College,Technical Degree,Low,Intermediate,Sales Representative,Single,0,No,High,Low,No,7,Medium,7,4,full_time,Average,minority,Male,YES
37,Travel_Rarely,Human Resources,14,Bachelor,Human Resources,High,Entry Level,Human Resources,Married,4,No,Average,Average,Yes,8,Medium,5,2,full_time,Average,non-minority,Male,YES
35,Travel_Rarely,Sales,17,Bachelor,Medical,High,Intermediate,Sales Executive,Married,0,No,Low,High,Yes,6,Medium,4,2,full_time,Average,non-minority,Male,YES
46,Travel_Rarely,Sales,3,Bachelor,Medical,High,Experienced,Manager,Divorced,2,No,High,Average,Yes,27,Medium,11,5,full_time,High,non-minority,Female,NO
27,Travel_Frequently,Sales,3,Below College,Medical,Very High,Intermediate,Sales Executive,Divorced,1,Yes,Outstanding,Average,No,6,High,6,5,full_time,High,minority,Female,NO
60,Travel_Rarely,Sales,7,Master,Marketing,Very High,Intermediate,Sales Executive,Divorced,0,Yes,Outstanding,Average,Yes,12,High,11,7,full_time,High,minority,Male,YES
36,Travel_Rarely,Sales,20,Master,Marketing,High,Intermediate,Sales Executive,Single,0,Yes,Average,Low,No,3,High,5,1,full_time,High,minority,Female,NO
35,Travel_Rarely,Research & Development,10,Bachelor,Other,High,Entry Level,Laboratory Technician,Divorced,1,No,Outstanding,Low,Yes,3,High,3,2,full_time,High,non-minority,Male,NO
43,Travel_Rarely,Sales,16,Bachelor,Marketing,High,Experienced,Manager,Married,5,Yes,Outstanding,High,Yes,22,High,17,13,full_time,High,minority,Female,YES
37,Non-Travel,Research & Development,5,College,Other,High,Intermediate,Healthcare Representative,Single,1,Yes,High,Average,Yes,10,High,9,7,full_time,High,minority,Female,NO
45,Travel_Rarely,Research & Development,8,Master,Life Sciences,Medium,Entry Level,Laboratory Technician,Married,4,Yes,Low,High,Yes,10,High,3,4,full_time,High,minority,Female,NO
29,Travel_Rarely,Research & Development,6,Below College,Life Sciences,High,Entry Level,Research Scientist,Married,1,No,High,Low,Yes,10,High,10,8,full_time,Average,minority,Male,YES
48,Travel_Frequently,Research & Development,5,Doctorate,Medical,Low,Experienced,Manager,Married,2,No,Low,Average,Yes,2,Medium,2,0,full_time,High,non-minority,Male,NO
52,Non-Travel,Sales,29,Master,Life Sciences,High,Entry Level,Sales Representative,Divorced,2,No,Outstanding,Average,No,16,High,9,8,full_time,Average,minority,Male,YES
30,Travel_Frequently,Sales,12,Master,Life Sciences,Medium,Entry Level,Sales Representative,Married,1,No,Low,High,Yes,1,Medium,1,0,full_time,High,non-minority,Male,YES
33,Travel_Frequently,Sales,5,Below College,Life Sciences,High,Intermediate,Sales Executive,Married,6,No,Outstanding,Low,No,8,Medium,5,4,full_time,Average,non-minority,Male,YES
34,Non-Travel,Research & Development,7,College,Other,High,Intermediate,Healthcare Representative,Single,1,Yes,High,Average,Yes,10,High,9,7,full_time,High,non-minority,Female,NO
36,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,High,Entry Level,Research Scientist,Married,5,No,Low,Average,Yes,4,High,2,2,full_time,Average,minority,Female,NO
32,Travel_Rarely,Sales,4,Master,Medical,Low,Experienced,Sales Executive,Married,1,No,Outstanding,High,No,14,Medium,14,8,full_time,Low,non-minority,Male,YES
26,Travel_Frequently,Research & Development,1,College,Life Sciences,Low,Entry Level,Laboratory Technician,Divorced,3,No,Outstanding,Low,Yes,5,Medium,2,2,contract,High,non-minority,Female,NO
35,Travel_Rarely,Research & Development,7,Bachelor,Other,High,Experienced,Manufacturing Director,Single,3,No,Low,Average,No,17,High,8,5,full_time,High,minority,Male,NO
41,Travel_Rarely,Sales,2,Master,Life Sciences,High,Experienced,Manager,Single,1,No,Low,Average,No,22,Medium,22,10,full_time,High,minority,Female,NO
42,Travel_Rarely,Sales,1,Below College,Life Sciences,High,Intermediate,Sales Executive,Married,1,No,High,High,No,20,High,20,16,contract,High,non-minority,Male,YES
34,Travel_Rarely,Research & Development,6,Master,Life Sciences,Medium,Intermediate,Research Scientist,Divorced,6,No,Low,High,Yes,12,High,1,0,full_time,Average,minority,Female,NO
37,Travel_Rarely,Sales,4,Bachelor,Marketing,Medium,Experienced,Sales Executive,Married,0,No,Outstanding,Average,No,9,Medium,9,7,contract,High,non-minority,Female,NO
25,Travel_Rarely,Sales,26,Below College,Medical,Medium,Intermediate,Sales Executive,Single,1,No,Outstanding,Average,No,6,Medium,0.6,2,full_time,High,non-minority,Female,NO
58,Travel_Frequently,Research & Development,2,Below College,Life Sciences,Medium,Entry Level,Laboratory Technician,Divorced,9,Yes,Outstanding,Outstanding,Yes,3,High,1,0,contract,High,non-minority,Female,NO
47,Travel_Rarely,Sales,3,Bachelor,Life Sciences,High,Experienced,Sales Executive,Single,0,No,High,High,No,10,Medium,9,8,full_time,Average,non-minority,Male,YES
34,Travel_Rarely,Research & Development,1,Master,Life Sciences,High,Intermediate,Research Scientist,Married,9,No,Low,Average,Yes,9,High,2,2,full_time,High,minority,Female,NO
40,Non-Travel,Sales,24,Bachelor,Life Sciences,Medium,Experienced,Sales Executive,Single,1,Yes,Low,Average,No,22,Medium,1,2,full_time,Average,minority,Female,NO
50,Travel_Frequently,Sales,1,Master,Life Sciences,High,Intermediate,Sales Executive,Divorced,7,No,High,Outstanding,No,12,High,6,3,full_time,Average,non-minority,Male,YES
36,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,Very High,Entry Level,Laboratory Technician,Married,3,No,Low,Average,No,5,High,1,0,full_time,Average,minority,Female,NO
52,Travel_Rarely,Research & Development,5,Bachelor,Life Sciences,Low,Entry Level,Laboratory Technician,Single,2,No,Outstanding,Average,No,2,Medium,2,0,full_time,High,non-minority,Female,NO
43,Travel_Frequently,Research & Development,20,Bachelor,Technical Degree,Medium,Entry Level,Research Scientist,Married,0,Yes,Low,Low,Yes,3,High,1,1,full_time,Average,minority,Male,NO
36,Travel_Frequently,Sales,1,Bachelor,Medical,Low,Intermediate,Sales Executive,Divorced,1,No,High,High,Yes,7,Medium,7,4,full_time,Average,non-minority,Male,YES
34,Travel_Frequently,Human Resources,11,Bachelor,Life Sciences,Medium,Intermediate,Human Resources,Married,4,No,Average,Outstanding,No,14,Medium,10,9,full_time,Average,non-minority,Male,YES
28,Travel_Rarely,Sales,3,Bachelor,Medical,High,Entry Level,Sales Representative,Married,1,No,Low,Outstanding,Yes,1,High,1,0,full_time,High,minority,Female,NO
30,Travel_Rarely,Research & Development,3,Bachelor,Technical Degree,Medium,Entry Level,Research Scientist,Single,4,Yes,High,High,Yes,5,Medium,0,2,full_time,Low,minority,Female,NO
37,Travel_Rarely,Sales,4,Bachelor,Marketing,Medium,Experienced,Sales Executive,Married,0,No,Outstanding,Average,No,9,Medium,9,7,contract,High,non-minority,Female,NO
18,Travel_Rarely,Sales,10,Bachelor,Medical,High,Entry Level,Sales Representative,Single,5,No,Low,Low,Yes,4,High,0,2,contract,Average,minority,Female,NO
33,Travel_Rarely,Sales,9,Master,Marketing,High,Intermediate,Sales Executive,Single,0,Yes,Low,Low,No,6,High,0.3,2,full_time,High,non-minority,Female,NO
35,Travel_Rarely,Sales,17,Master,Life Sciences,High,Intermediate,Sales Executive,Married,3,Yes,Low,Outstanding,Yes,15,Medium,7,7,full_time,High,non-minority,Female,NO
48,Travel_Rarely,Research & Development,20,Bachelor,Life Sciences,Medium,Experienced,Research Director,Married,0,No,Low,Low,No,3,High,22,1,full_time,Average,minority,Male,NO
50,Travel_Rarely,Research & Development,29,Master,Life Sciences,Medium,Experienced,Manager,Married,0,No,Low,Average,Yes,28,Medium,27,10,contract,Average,minority,Male,NO
45,Travel_Rarely,Research & Development,28,Bachelor,Technical Degree,High,Entry Level,Research Scientist,Married,4,No,Outstanding,Outstanding,Yes,8,High,5,4,full_time,High,non-minority,Male,YES
31,Travel_Rarely,Sales,7,Bachelor,Marketing,High,Intermediate,Sales Executive,Divorced,4,No,Outstanding,Outstanding,Yes,13,High,7,7,full_time,Average,non-minority,Male,YES
36,Non-Travel,Sales,15,Master,Marketing,Low,Intermediate,Sales Executive,Divorced,1,No,Outstanding,Low,Yes,15,High,15,12,contract,High,non-minority,Female,NO
34,Travel_Rarely,Sales,8,College,Technical Degree,Very High,Intermediate,Sales Executive,Married,1,No,High,High,No,10,Medium,10,8,contract,High,non-minority,Male,YES
47,Travel_Rarely,Sales,3,Bachelor,Life Sciences,High,Experienced,Sales Executive,Single,0,No,High,High,No,10,Medium,9,8,full_time,Average,non-minority,Male,YES
25,Travel_Rarely,Research & Development,9,Below College,Medical,Low,Entry Level,Laboratory Technician,Married,2,Yes,Low,Low,Yes,5,Medium,4,3,full_time,Average,minority,Male,YES
58,Travel_Rarely,Sales,5,Bachelor,Life Sciences,Low,Experienced,Manager,Married,2,Yes,Low,High,Yes,2,Medium,1,0,full_time,High,minority,Female,NO
18,Travel_Frequently,Sales,5,College,Medical,Low,Entry Level,Sales Representative,Single,2,Yes,Low,High,No,2,Medium,0,0,full_time,High,minority,Female,NO
34,Travel_Rarely,Research & Development,7,Bachelor,Medical,Medium,Entry Level,Research Scientist,Married,1,No,Average,Average,Yes,14,High,14,8,full_time,Average,minority,Male,YES
30,Travel_Rarely,Sales,5,Bachelor,Marketing,Medium,Intermediate,Sales Executive,Divorced,1,No,Low,High,Yes,10,Medium,10,9,contract,High,minority,Female,NO
31,Travel_Frequently,Research & Development,20,Bachelor,Life Sciences,High,Experienced,Healthcare Representative,Married,3,No,High,Low,No,12,Medium,1,0,full_time,High,minority,Female,NO
29,Travel_Rarely,Sales,2,Bachelor,Medical,Medium,Intermediate,Sales Executive,Married,2,No,Average,Average,No,10,Medium,0,0,contract,High,non-minority,Male,NO
35,Travel_Rarely,Research & Development,23,Master,Medical,Low,Entry Level,Laboratory Technician,Married,0,No,High,Average,Yes,6,Medium,5,4,full_time,Average,non-minority,Male,YES
48,Travel_Rarely,Research & Development,4,Master,Life Sciences,Medium,Experienced,Healthcare Representative,Single,7,No,High,Average,No,27,High,15,11,full_time,Average,minority,Male,YES
27,Travel_Rarely,Research & Development,2,Master,Technical Degree,High,Entry Level,Research Scientist,Married,1,No,Average,High,Yes,6,High,5,3,full_time,Low,non-minority,Male,YES
33,Travel_Rarely,Research & Development,21,Bachelor,Medical,Very High,Entry Level,Laboratory Technician,Married,1,No,Average,Outstanding,Yes,14,Medium,14,11,full_time,High,non-minority,Male,YES
52,Travel_Rarely,Research & Development,6,College,Technical Degree,High,Intermediate,Research Scientist,Divorced,3,Yes,Low,Average,No,18,High,10,9,contract,Average,minority,Male,YES
41,Travel_Rarely,Sales,1,College,Marketing,Medium,Experienced,Sales Executive,Married,7,No,Low,High,Yes,22,Low,18,6,contract,Average,non-minority,Male,YES
58,Non-Travel,Research & Development,1,Master,Life Sciences,Low,Intermediate,Healthcare Representative,Divorced,2,Yes,Low,Outstanding,Yes,12,Medium,5,3,full_time,High,non-minority,Female,NO
27,Travel_Rarely,Sales,2,Bachelor,Life Sciences,High,Intermediate,Sales Executive,Single,1,Yes,Low,Low,No,5,High,5,4,full_time,Low,minority,Male,NO
40,Travel_Frequently,Research & Development,26,Bachelor,Medical,Medium,Intermediate,Research Scientist,Divorced,1,No,Low,Average,Yes,20,Medium,20,2,full_time,Low,minority,Female,NO
40,Travel_Rarely,Research & Development,20,Master,Technical Degree,High,Experienced,Healthcare Representative,Married,4,No,Low,Outstanding,Yes,14,Medium,11,10,full_time,High,minority,Female,NO
29,Travel_Frequently,Research & Development,2,Below College,Life Sciences,Medium,Entry Level,Laboratory Technician,Married,1,No,Low,Average,Yes,4,Medium,3,2,full_time,Average,minority,Female,NO
21,Travel_Rarely,Research & Development,10,Bachelor,Life Sciences,Medium,Entry Level,Laboratory Technician,Single,1,No,Low,Low,No,1,Medium,1,0,full_time,High,minority,Female,NO
46,Travel_Rarely,Research & Development,2,College,Life Sciences,High,Experienced,Manufacturing Director,Divorced,3,No,Outstanding,High,Yes,12,High,9,8,full_time,High,non-minority,Female,NO
34,Travel_Rarely,Sales,8,College,Technical Degree,Very High,Intermediate,Sales Executive,Married,1,No,High,High,No,10,Medium,10,8,contract,High,non-minority,Male,YES
34,Travel_Rarely,Research & Development,27,College,Medical,Medium,Entry Level,Research Scientist,Single,1,No,Low,Average,No,9,Medium,0.6,2,contract,High,minority,Female,NO
43,Travel_Frequently,Research & Development,28,Bachelor,Medical,Very High,Entry Level,Research Scientist,Single,4,No,Low,Outstanding,No,18,Medium,3,2,full_time,High,non-minority,Female,NO
22,Travel_Frequently,Research & Development,3,Master,Life Sciences,Medium,Entry Level,Research Scientist,Married,4,Yes,Low,Average,Yes,5,Medium,0,2,contract,Low,minority,Female,NO
56,Travel_Frequently,Sales,6,Bachelor,Life Sciences,Very High,Experienced,Sales Executive,Married,9,No,Low,Outstanding,Yes,36,Low,7,7,full_time,Low,non-minority,Female,NO
55,Travel_Rarely,Sales,13,Master,Marketing,Very High,Experienced,Sales Executive,Single,6,Yes,High,High,No,24,Medium,19,7,full_time,High,minority,Male,YES
45,Travel_Rarely,Sales,20,Bachelor,Life Sciences,Medium,Intermediate,Sales Executive,Single,4,No,Average,High,No,10,High,5,4,full_time,High,non-minority,Female,NO
26,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,High,Entry Level,Research Scientist,Married,5,No,Low,Low,Yes,4,High,1,2,full_time,High,minority,Female,NO
45,Travel_Rarely,Research & Development,2,Below College,Medical,Medium,Entry Level,Laboratory Technician,Single,4,No,Average,Outstanding,No,10,High,5,4,full_time,Average,non-minority,Male,NO
46,Travel_Rarely,Human Resources,5,College,Medical,High,Intermediate,Human Resources,Divorced,8,Yes,Average,Outstanding,Yes,16,Medium,4,2,full_time,High,non-minority,Male,YES
52,Travel_Rarely,Sales,5,Bachelor,Life Sciences,High,Experienced,Sales Executive,Single,9,Yes,Average,High,No,10,Medium,8,7,full_time,High,non-minority,Male,YES
